movie,year,People,Food,Costume,Natural_landscape,Human_landscape_other,Human_landscape_Chinatown,Human_landscape_GreatWall,Modern_landscape_OtherCity,Modern_landscape_HK,Modern_landscape_Shanghai,Modern_landscape_Beijing,Language_Mandarin,Language_Cantonese,Language_Others,Ideology,KungFu,FolkArt,BGM,Commercial,COVID,Streaming+cinema,Mainland_release,HK_release,TW_release,Chinese_box_office_million,international_box_office_million,inflation,cpi,douban,iMDb,Rotten_Tomato,rotten_tomato,Average_Score,Chinese_market_popularity,Chinese_market_prob,International_market_popularity,International_market_prob,China_popularity,International_popularity
The Great Wall,2016,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,170.96,163.97,0.013 ,240,4.9,5.9,3.5,0.35,4.70,1.21142,0.77,1.16189,0.76,1,0
Arrival,2016,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,15.88,187.51,0.013 ,240,7.8,7.9,9.4,0.94,8.65,0.13456,0.53,1.33852,0.79,0,0
Independence Day：Resurgence,2016,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,75.36,314.32,0.013 ,240,5.7,5.2,2.9,0.29,4.05,0.54462,0.63,2.21239,0.90,1,1
Dr Strange,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,109.19,568.61,0.013 ,240,7.6,7.5,8.9,0.89,8.20,0.78713,0.69,4.00487,0.98,1,1
Rogue One : A Star War Story,2016,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,69.49 ,986.57 ,0.013 ,240,7.3,7.8,8.4,0.84,8.10,0.508295,0.62,6.930304,1.00,1,1
The Martian,2015,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,94.93 ,535.23 ,0.001 ,237,8.5,8,9.1,0.91,8.55,0.690031,0.67,3.772253,0.98,1,1
Transformers: Age of Extinction,2014,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,301.00 ,803.05 ,0.016 ,236.7,6.7,5.6,1.7,0.17,3.65,2.1271,0.89,5.632328,1.00,1,1
X-Men: Days of Future Past,2014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,116.49 ,629.56 ,0.016 ,236.7,8.2,8,9,0.90,8.50,0.84003,0.70,4.432392,0.99,1,1
Gravity,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,70.68 ,652.51 ,0.015 ,233,7.9,7.7,9.6,0.96,8.65,0.51846,0.63,4.593541,0.99,1,1
Battleship,2012,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,48.33 ,254.70 ,0.021 ,229.6,6.7,5.8,3.4,0.34,4.60,0.358403,0.59,1.796679,0.86,0,0
Resident Evil: Retribution,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,17.27 ,222.89 ,0.021 ,229.6,6.3,5.3,2.8,0.28,4.05,0.13979,0.53,1.572373,0.83,0,0
Kung Fu Panda 2,2011,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,92.17 ,573.52 ,0.032 ,224.9,8,7.2,8,0.80,7.60,0.669218,0.66,4.037426,0.98,1,1
The Karate Kid,2010,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,7.25 ,351.88 ,0.016 ,218.1,6.4,6.2,6.6,0.66,6.40,0.069957,0.52,2.482325,0.92,0,1
Kung Fu Panda,2008,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,26.02 ,606.06 ,0.038 ,215.3,8.2,7.6,8.7,0.87,8.15,0.206768,0.55,4.266863,0.99,0,1
2012,2009,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,90.10 ,769.60 ,(0.004),214.5,8,5.8,3.9,0.39,4.85,0.6547,0.66,5.40175,1.00,1,1
Push (tw),2009,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0.27 ,48.90 ,(0.004),214.5,6,6,4.2,0.42,5.10,0.01989,0.50,0.3576,0.59,0,0
The Mummy: Tomb of the Dragon Emperor,2008,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,17.4,403.4,0.038 ,215.3,5.6,5.2,3,0.30,4.10,0.1386,0.53,2.8361,0.94,0,1
The Forbidden Kingdom,2008,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,26.9,128.8,0.038 ,215.3,5.7,6.5,6,0.60,6.25,0.2054,0.55,0.92035,0.72,0,0
Vicky Cristina Barcelona,2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.49,96.3,0.038 ,215.3,7.8,7.1,7.4,0.74,7.25,0.02683,0.51,0.69585,0.67,0,0
The Dark Knight (hk/tw),2008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,14.4,1006.1,0.038 ,215.3,9.2,9.1,9.4,0.94,9.25,0.1284,0.53,7.07045,1.00,0,1
Rush Hour 3 (hk/tw),2007,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0.53,258.1,0.029 ,207.3,6.8,6.2,6.3,0.63,6.25,0.02411,0.51,1.82545,0.86,0,0
Pirates of the Caribbean: At World's End,2007,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,16.9,960.9,0.029 ,207.3,8.3,7.1,7.2,0.72,7.15,0.1432,0.54,6.74775,1.00,0,1
Ratatouille,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2.87,623.7,0.029 ,207.3,8.5,8.1,8.7,0.87,8.40,0.04559,0.51,4.3911,0.99,0,1
Mission Impossible 3,2006,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,10.16,398.4,0.032 ,201.6,7.6,6.9,6.9,0.69,6.90,0.09392,0.52,2.8095,0.94,0,1
The Painted Veil,2006,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.38,26.42,0.032 ,201.6,8.3,7.4,7.4,0.74,7.40,0.02756,0.51,0.20714,0.55,0,0
Memoirs of a Geisha (hk),2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.76,161.44,0.034 ,195.3,7.6,7.3,3.5,0.35,5.40,0.02812,0.51,1.14628,0.76,0,0
Killing Bill: Vol.2 (hk),2004,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0.49,151.71,0.027 ,188.9,8.1,8,8.4,0.84,8.20,0.02773,0.51,1.08657,0.75,0,0
Around the World in 80 days (hk),2004,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0.4,71.8,0.027 ,188.9,6.2,5.8,3.2,0.32,4.50,0.0214,0.51,0.5161,0.63,0,0
Charlie’s Angels (hk),2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.73,258.47,0.023 ,184,6.9,5.6,6.8,0.68,6.20,0.02581,0.51,1.82789,0.86,0,0
Killing Bill: Vol.1 (hk),2003,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0.55,180.35,0.023 ,184,8.3,8.2,8.5,0.85,8.35,0.02875,0.51,1.2875,0.78,0,0
Freaky Friday (hk),2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.05,160.75,0.023 ,184,7.4,6.3,8.8,0.88,7.55,0.02255,0.51,1.1479,0.76,0,0
Spider-man,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4.98,847.02,0.016 ,179.9,8,7.4,9,0.90,8.20,0.05886,0.51,5.95374,1.00,0,1
