,movie,year,People,Food,Costume,Natural_landscape,Human_landscape,Modern_landscape,Language,Ideology\belief,Kung Fu,Folk Art,BGM,Commercial,COVID,Streaming+cinema,Chinese_box_office (million),international_box_office (million),inflation,cpi,douban,iMDb,rotten_tomato,,,
,The Mummy: Tomb of the Dragon Emperor,2008,华裔,0,1,香格里拉/新疆盆地,西安兵马俑,None,普通话,独尊儒术/五行,1,1,1,0,0,1,17.4,403.4,3.80%,215.3,5.6,5.2,30%,,,
,The Forbidden Kingdom,2008,华裔,0,1,戈壁沙漠、九寨沟、仙居瀑布、武夷山,无,None,无,佛教/阴阳/神话,1,1,1,1,0,1,26.9,128.8,3.80%,215.3,5.7,6.5,60%,,,
,Vicky Cristina Barcelona,2008,无,0,0,无,无,None,普通话,无,0,0,0,0,0,1,0.49,96.3,3.80%,215.3,7.8,7.1,74%,,,
,The Dark Knight,2008,华裔,0,0,无,无,None,普通话,无,1,0,0,0,0,1,14.4(未在内地上映，港澳数据）,1006.1,3.80%,215.3,9.2,9.1,94%,,,
,Rush Hour 3,2007,华裔,0,1,无,无,None,中文出现,无,1,0,1,1,0,1,0.53(未在内地上映，港澳数据）,258.1,2.90%,207.3,6.8,6.2,63%,,,
,Pirates of the Caribbean: At World's End,2007,华裔,0,1,无,无,None,中文出现,无,0,0,0,0,0,1,16.9,960.9,2.90%,207.3,8.3,7.1,72%,,,
,Ratatouille,2007,无,1,0,无,无,None,无,无,0,0,0,0,0,1,2.87,623.7,2.90%,207.3,8.5,8.1,87%,,,
,Mission Impossible 3,2006,华裔,0,0,西塘古镇,无,Shanghai,中文出现,无,0,0,0,0,0,1,10.16,398.4,3.20%,201.6,7.6,6.9,69%,,,
Eve,The Painted Veil,2006,华裔,1,1,广西黄姚古镇以及宜州,无,Guangxi,普通话,无,0,0,0,0,0,1,0.38,26.8,3.20%,201.6,8.3,7.4,74%,,,
,Memoirs of a Geisha,2005,华裔,0,0,无,无,None,无,无,0,0,0,0,0,1,0.76（香港上映）,162.2,3.40%,195.3,7.6,7.3,35%,,,
,Killing Bill: Vol.2,2004,华裔,0,1,无,无,Beijing,无,无,1,0,0,0,0,1,0.49（香港上映）,152.2,2.70%,188.9,8.1,8,84%,,,
,Around the World in 80 days,2004,华裔,1,1,某乡村,长城,Beijing,普通话,佛教/阴阳/神话,1,1,1,0,0,1,0.40（香港上映）,72.2,2.70%,188.9,6.2,5.8,32%,,,
,Charlie’s Angels,2003,华裔,0,0,无,无,None,无,无,1,0,0,0,0,1,0.73(香港上映),259.2,2.30%,184,6.9,5.6,68%,,,
,Killing Bill: Vol.1,2003,华裔,0,1,无,无,Beijing,无,无,1,0,0,0,0,1,0.55（香港上映）,180.9,2.30%,184,8.3,8.2,85%,,,
,Freaky Friday,2003,华裔,0,0,无,无,None,无,无,0,0,0,0,0,1,0.05（香港上映）,160.8,2.30%,184,7.4,6.3,88%,,,
,Spider-man,2002,华裔,0,0,无,无,None,无,无,0,0,0,0,0,1,4.98,852,1.60%,179.9,8,7.4,90%,,,
,Rush Hour 2,2001,华裔,1,1,无,无,HK,粤语/普通话,无,1,1,0,0,0,1,未上映,347.3,2.80%,177.1,7,6.6,52%,,,
,Kiss of the Dragon,2001,华裔,0,1,无,无,None,无,无,1,0,0,0,0,1,未上映,64.4,2.80%,177.1,6.8,6.6,52%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
